Generation, Solution
1, 3.14626
2, 3.14161
3, 3.14159
4, 3.14159
5, 3.14159
6, 3.14159
7, 3.14159
8, 3.14159
9, 3.14159
10, 3.14159
11, 3.14159
12, 3.14159
13, 3.14159
14, 3.14159
15, 3.14159
16, 3.14159
17, 3.14159
18, 3.14159
19, 3.14159
20, 3.14159
21, 3.14159
22, 3.14159
23, 3.14159
24, 3.14159
25, 3.14159
26, 3.14159
27, 3.14159
28, 3.14159
29, 3.14159
30, 3.14159
31, 3.14159
32, 3.14159
33, 3.14159
34, 3.14159
35, 3.14159
36, 3.14159
37, 3.14159
38, 3.14159
39, 3.14159
40, 3.14159
41, 3.14159
42, 3.14159
43, 3.14159
44, 3.14159
45, 3.14159
46, 3.14159
47, 3.14159
48, 3.14159
49, 3.14159
50, 3.14159
51, 3.14159
52, 3.14159
53, 3.14159
54, 3.14159
55, 3.14159
56, 3.14159
57, 3.14159
58, 3.14159
59, 3.14159
60, 3.14159
61, 3.14159
62, 3.14159
63, 3.14159
64, 3.14159
65, 3.14159
66, 3.14159
67, 3.14159
68, 3.14159
69, 3.14159
70, 3.14159
71, 3.14159
72, 3.14159
73, 3.14159
74, 3.14159
75, 3.14159
76, 3.14159
77, 3.14159
78, 3.14159
79, 3.14159
80, 3.14159
81, 3.14159
82, 3.14159
83, 3.14159
84, 3.14159
85, 3.14159
86, 3.14159
87, 3.14159
88, 3.14159
89, 3.14159
90, 3.14159
91, 3.14159
92, 3.14159
93, 3.14159
94, 3.14159
95, 3.14159
96, 3.14159
97, 3.14159
98, 3.14159
99, 3.14159
100, 3.14159
