Run, Generation, Solution
0, 5113, 3.14159
1, 3421, 3.14159
2, 1314, 3.14159
3, 1764, 3.14159
4, 4302, 3.14159
5, 790, 3.14159
6, 2663, 3.14159
7, 620, 3.14159
8, 5187, 3.14159
9, 5283, 3.14159
10, 958, 3.14159
11, 274, 3.14159
12, 22, 3.14159
13, 1542, 3.14159
14, 509, 3.14159
15, 1500, 3.14159
16, 493, 3.14159
17, 4283, 3.14159
18, 2049, 3.14159
19, 691, 3.14159
20, 2152, 3.14159
21, 3090, 3.14159
22, 3947, 3.14159
23, 2347, 3.14159
24, 3134, 3.14159
25, 1539, 3.14159
26, 555, 3.14159
27, 4310, 3.14159
28, 4255, 3.14159
29, 881, 3.14159
30, 434, 3.14159
31, 5268, 3.14159
32, 631, 3.14159
33, 1563, 3.14159
34, 5791, 3.14159
35, 2426, 3.14159
36, 1937, 3.14159
37, 526, 3.14159
38, 834, 3.14159
39, 3830, 3.14159
40, 4068, 3.14159
41, 1041, 3.14159
42, 1930, 3.14159
43, 7308, 3.14159
44, 355, 3.14159
45, 72, 3.14159
46, 927, 3.14159
47, 6607, 3.14159
48, 714, 3.14159
49, 3321, 3.14159
50, 966, 3.14159
51, 3727, 3.14159
52, 945, 3.14159
53, 616, 3.14159
54, 654, 3.14159
55, 370, 3.14159
56, 252, 3.14159
57, 1278, 3.14159
58, 5900, 3.14159
59, 1733, 3.14159
60, 3052, 3.14159
61, 261, 3.14159
62, 1204, 3.14159
63, 669, 3.14159
64, 6721, 3.14159
65, 309, 3.14159
66, 3350, 3.14159
67, 5445, 3.14159
68, 4821, 3.14159
69, 637, 3.14159
70, 1907, 3.14159
71, 2682, 3.14159
72, 1268, 3.14159
73, 574, 3.14159
74, 1056, 3.14159
75, 50, 3.14159
76, 749, 3.14159
77, 2987, 3.14159
78, 303, 3.14159
79, 438, 3.14159
80, 1329, 3.14159
81, 1923, 3.14159
82, 5824, 3.14159
83, 593, 3.14159
84, 943, 3.14159
85, 152, 3.14159
86, 1754, 3.14159
87, 532, 3.14159
88, 1411, 3.14159
89, 2568, 3.14159
90, 4850, 3.14159
91, 872, 3.14159
92, 1149, 3.14159
93, 25, 3.14159
94, 6863, 3.14159
95, 1331, 3.14159
96, 1491, 3.14159
97, 2649, 3.14159
98, 3252, 3.14159
99, 1001, 3.14159
